,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.family,attributes.hierarchy.class,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,6,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,alvei,Hafnia,Bacteria,alvei,Hafnia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AHafnia%253Aalvei,MGYA00005315,12118.0,97.8046811945,484.0,3.9063761098,198.0,1.5983209558,185.0,1.4939836873,185.0,1.9758624373,6.0,0.0998668442,6.0,0.3658536585
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,20,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005315,12118.0,97.8046811945,5841.0,47.1428571429,5799.0,46.8114304165,5782.0,46.6930469192,1055.0,11.2677560611,20.0,0.3328894807,,
2,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:AF12,1,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:AF12,Bacteroidales,Bacteroidetes,Rikenellaceae,Bacteroidia,Bacteria,,AF12,Bacteria,AF12,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253AAF12,MGYA00005315,12118.0,97.8046811945,5425.0,43.7853107345,5410.0,43.6712948014,5410.0,43.6889283695,1055.0,11.2677560611,1.0,0.016644474,,
3,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridiales,Firmicutes,Acidaminobacteraceae,Clostridia,Bacteria,,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005315,12118.0,97.8046811945,5841.0,47.1428571429,5799.0,46.8114304165,5782.0,46.6930469192,2.0,0.021360675,2.0,0.0332889481,,
4,organisms,Bacteria:Actinobacteria:OPB41,1,Bacteria:Actinobacteria:OPB41,,Actinobacteria,,OPB41,Bacteria,,,Bacteria,OPB41,Actinobacteria,class,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AOPB41,MGYA00005315,12118.0,97.8046811945,14.0,0.1129943503,1.0,0.0080723281,,,,,,,,
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Oribacterium,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,MGYA00005315,12118.0,97.8046811945,5841.0,47.1428571429,5799.0,46.8114304165,5782.0,46.6930469192,1055.0,11.2677560611,1.0,0.016644474,,
6,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,7,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidales,Bacteroidetes,Marinilabiaceae,Bacteroidia,Bacteria,,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005315,12118.0,97.8046811945,5425.0,43.7853107345,5410.0,43.6712948014,5410.0,43.6889283695,9.0,0.0961230375,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidales,Bacteroidetes,Porphyromonadaceae,Bacteroidia,Bacteria,,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,MGYA00005315,12118.0,97.8046811945,5425.0,43.7853107345,5410.0,43.6712948014,5410.0,43.6889283695,1162.0,12.4105521734,2.0,0.0332889481,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,22,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,MGYA00005315,12118.0,97.8046811945,5841.0,47.1428571429,5799.0,46.8114304165,5782.0,46.6930469192,164.0,1.7515753498,22.0,0.3661784288,,
9,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,13,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Turicibacterales,Firmicutes,Turicibacteraceae,Bacilli,Bacteria,,Turicibacter,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,MGYA00005315,12118.0,97.8046811945,5841.0,47.1428571429,21.0,0.1695188892,13.0,0.1049826375,13.0,0.1388443875,13.0,0.2163781625,,
