,type,id,attributes_count,attributes.lineage,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Bacteria,Clostridiales,Firmicutes,Clostridia,Tissierellaceae,GW-34,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,2977.0,9.8387203384,2954.0,9.763998149,1.0,0.0033397903,1.0,0.0035070492,,
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,2977.0,9.8387203384,2954.0,9.763998149,1827.0,6.1017968072,3.0,0.0105211475,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,9,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Bacteria,Clostridiales,Firmicutes,Clostridia,Acidaminobacteraceae,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,2977.0,9.8387203384,2954.0,9.763998149,9.0,0.0300581124,9.0,0.0315634425,,
3,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,3,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Oribacterium,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,2977.0,9.8387203384,2954.0,9.763998149,1827.0,6.1017968072,3.0,0.0105211475,,
4,organisms,Bacteria:Cyanobacteria:Gloeobacterophycideae:Gloeobacterales:Gloeobacteraceae:Gloeobacter:violaceus,1,Bacteria:Cyanobacteria:Gloeobacterophycideae:Gloeobacterales:Gloeobacteraceae:Gloeobacter:violaceus,Bacteria,Gloeobacterales,Cyanobacteria,Gloeobacterophycideae,Gloeobacteraceae,Gloeobacter,Bacteria,violaceus,Gloeobacter,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ACyanobacteria%253AGloeobacterophycideae%253AGloeobacterales%253AGloeobacteraceae%253AGloeobacter%253Aviolaceus,violaceus,MGYA00005298,30258.0,100.0,1.0,0.0033049111,1.0,0.0033049111,1.0,0.0033053481,1.0,0.0033397903,1.0,0.0035070492,1.0,0.0131164743
5,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,2,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Porphyromonadaceae,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,,MGYA00005298,30258.0,100.0,24943.0,82.4343975147,24941.0,82.4277876925,24941.0,82.4386857936,3067.0,10.243136731,2.0,0.0070140983,,
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,95,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Bacteria,Clostridiales,Firmicutes,Clostridia,Clostridiaceae,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,2977.0,9.8387203384,2954.0,9.763998149,157.0,0.524347071,95.0,0.333169671,,
7,organisms,Bacteria:Tenericutes:Mollicutes:Acholeplasmatales:Acholeplasmataceae:Acholeplasma,1,Bacteria:Tenericutes:Mollicutes:Acholeplasmatales:Acholeplasmataceae:Acholeplasma,Bacteria,Acholeplasmatales,Tenericutes,Mollicutes,Acholeplasmataceae,Acholeplasma,Bacteria,Acholeplasma,Acholeplasmataceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ATenericutes%253AMollicutes%253AAcholeplasmatales%253AAcholeplasmataceae%253AAcholeplasma,,MGYA00005298,30258.0,100.0,3.0,0.0099147333,3.0,0.0099147333,1.0,0.0033053481,1.0,0.0033397903,1.0,0.0035070492,,
8,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,1,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Bacteria,Turicibacterales,Firmicutes,Bacilli,Turicibacteraceae,Turicibacter,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,,MGYA00005298,30258.0,100.0,3002.0,9.9213431159,22.0,0.0727080442,1.0,0.0033053481,1.0,0.0033397903,1.0,0.0035070492,,
9,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,22,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Porphyromonadaceae,Tannerella,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,,MGYA00005298,30258.0,100.0,24943.0,82.4343975147,24941.0,82.4277876925,24941.0,82.4386857936,3067.0,10.243136731,22.0,0.0771550817,,
