,type,id,attributes_count,attributes.lineage,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.family,attributes.hierarchy.class,attributes.hierarchy.kingdom,attributes.hierarchy.species,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,2,Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Hafnia:alvei,Enterobacteriales,Proteobacteria,Enterobacteriaceae,Gammaproteobacteria,Bacteria,alvei,Hafnia,Bacteria,alvei,Hafnia,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AEnterobacteriales%253AEnterobacteriaceae%253AHafnia%253Aalvei,MGYA00005310,21296.0,99.9436831237,720.0,3.3790125774,203.0,0.9527385366,68.0,0.3192188527,68.0,0.3378378378,2.0,0.0139450565,2.0,0.0346740638
1,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Alloscardovia,1,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Alloscardovia,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Actinobacteria,Bacteria,,Alloscardovia,Bacteria,Alloscardovia,Bifidobacteriaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253AAlloscardovia,MGYA00005310,21296.0,99.9436831237,1611.0,7.560540642,1275.0,5.983948937,1245.0,5.8445216412,1245.0,6.1854133545,1.0,0.0069725282,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,123,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridiales,Firmicutes,Lachnospiraceae,Clostridia,Bacteria,,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,11742.0,55.1086497395,11718.0,55.0089193503,4016.0,19.9523052464,123.0,0.8576209734,,
3,organisms,Bacteria:Proteobacteria:Zetaproteobacteria:Mariprofundales:Mariprofundaceae:Mariprofundus,2,Bacteria:Proteobacteria:Zetaproteobacteria:Mariprofundales:Mariprofundaceae:Mariprofundus,Mariprofundales,Proteobacteria,Mariprofundaceae,Zetaproteobacteria,Bacteria,,Mariprofundus,Bacteria,Mariprofundus,Mariprofundaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AZetaproteobacteria%253AMariprofundales%253AMariprofundaceae%253AMariprofundus,MGYA00005310,21296.0,99.9436831237,720.0,3.3790125774,2.0,0.0093865866,2.0,0.0093887898,2.0,0.009936407,2.0,0.0139450565,,
4,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,4,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Catenibacterium:mitsuokai,Erysipelotrichales,Firmicutes,Erysipelotrichaceae,Erysipelotrichi,Bacteria,mitsuokai,Catenibacterium,Bacteria,mitsuokai,Catenibacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253ACatenibacterium%253Amitsuokai,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,701.0,3.289998592,701.0,3.2907708196,701.0,3.4827106518,246.0,1.7152419467,4.0,0.0693481276
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,4,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridiales,Firmicutes,Acidaminobacteraceae,Clostridia,Bacteria,,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,11742.0,55.1086497395,11718.0,55.0089193503,4.0,0.019872814,4.0,0.027890113,,
6,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,Actinomycetales,Actinobacteria,Microbacteriaceae,Actinobacteria,Bacteria,,,Bacteria,Microbacteriaceae,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AMicrobacteriaceae,MGYA00005310,21296.0,99.9436831237,1611.0,7.560540642,1275.0,5.983948937,30.0,0.1408318468,1.0,0.0049682035,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,3,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidales,Bacteroidetes,Marinilabiaceae,Bacteroidia,Bacteria,,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,MGYA00005310,21296.0,99.9436831237,6041.0,28.3508541393,6034.0,28.319331675,6034.0,28.3259787813,3.0,0.0149046105,,,,
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,3,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidales,Bacteroidetes,Porphyromonadaceae,Bacteroidia,Bacteria,,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,MGYA00005310,21296.0,99.9436831237,6041.0,28.3508541393,6034.0,28.319331675,6034.0,28.3259787813,441.0,2.1909777424,3.0,0.0209175847,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,142,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridiales,Firmicutes,Clostridiaceae,Clostridia,Bacteria,,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,11742.0,55.1086497395,11718.0,55.0089193503,350.0,1.7388712242,142.0,0.9900990099,,
10,organisms,Bacteria:Proteobacteria:Betaproteobacteria:Procabacteriales:Procabacteriaceae,2,Bacteria:Proteobacteria:Betaproteobacteria:Procabacteriales:Procabacteriaceae,Procabacteriales,Proteobacteria,Procabacteriaceae,Betaproteobacteria,Bacteria,,,Bacteria,Procabacteriaceae,Procabacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253AProcabacteriales%253AProcabacteriaceae,MGYA00005310,21296.0,99.9436831237,720.0,3.3790125774,475.0,2.2293143099,2.0,0.0093887898,2.0,0.009936407,,,,
11,organisms,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,55,Bacteria:Firmicutes:Bacilli:Turicibacterales:Turicibacteraceae:Turicibacter,Turicibacterales,Firmicutes,Turicibacteraceae,Bacilli,Bacteria,,Turicibacter,Bacteria,Turicibacter,Turicibacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ATuricibacterales%253ATuricibacteraceae%253ATuricibacter,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,457.0,2.1448350307,55.0,0.2581917191,55.0,0.2732511924,55.0,0.3834890531,,
12,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,55,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Actinobacteria,Bacteria,,,Bacteria,Bifidobacteriaceae,Bifidobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae,MGYA00005310,21296.0,99.9436831237,1611.0,7.560540642,1275.0,5.983948937,1245.0,5.8445216412,1245.0,6.1854133545,,,,
13,organisms,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus,2,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus,Lactobacillales,Firmicutes,Aerococcaceae,Bacilli,Bacteria,,Aerococcus,Bacteria,Aerococcus,Aerococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ALactobacillales%253AAerococcaceae%253AAerococcus,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,457.0,2.1448350307,355.0,1.6665101868,3.0,0.0149046105,2.0,0.0139450565,,
14,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Holdemania,9,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Holdemania,Erysipelotrichales,Firmicutes,Erysipelotrichaceae,Erysipelotrichi,Bacteria,,Holdemania,Bacteria,Holdemania,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AHoldemania,MGYA00005310,21296.0,99.9436831237,12900.0,60.5406420124,701.0,3.289998592,701.0,3.2907708196,701.0,3.4827106518,9.0,0.0627527541,,
