,type,id,attributes.accession,attributes.count,attributes.description,attributes.lineage,links.self,Sample_id,attributes.relative_abundance
0,go-terms,GO:0030031,GO:0030031,0,cell projection assembly,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0030031,MGYA00005292,0.0
1,go-terms,GO:0071554,GO:0071554,3514,cell wall organization or biogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071554,MGYA00005292,0.0494338877
2,go-terms,GO:0016043,GO:0016043,20123,cellular component organization,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016043,MGYA00005292,0.2830842694
3,go-terms,GO:0051301,GO:0051301,6560,cell division,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051301,MGYA00005292,0.0922840932
4,go-terms,GO:0016049,GO:0016049,1,cell growth,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016049,MGYA00005292,1.40677e-05
5,go-terms,GO:0048870,GO:0048870,2278,cell motility,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0048870,MGYA00005292,0.0320462141
6,go-terms,GO:0032196,GO:0032196,15867,transposition,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0032196,MGYA00005292,0.2232121504
7,go-terms,GO:0006811,GO:0006811,66659,ion transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006811,MGYA00005292,0.9377386233
8,go-terms,GO:0009306,GO:0009306,2609,protein secretion,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009306,MGYA00005292,0.0367026218
9,go-terms,GO:0006810,GO:0006810,322069,transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006810,MGYA00005292,4.5307691485
10,go-terms,GO:0046034,GO:0046034,9343,ATP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046034,MGYA00005292,0.1314344943
11,go-terms,GO:0009058,GO:0009058,466010,biosynthetic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009058,MGYA00005292,6.5556875418
12,go-terms,GO:0005975,GO:0005975,277608,carbohydrate metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005975,MGYA00005292,3.9053052662
13,go-terms,GO:0009056,GO:0009056,43896,catabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009056,MGYA00005292,0.6175156334
14,go-terms,GO:0006520,GO:0006520,133277,cellular amino acid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006520,MGYA00005292,1.874900471
15,go-terms,GO:0045333,GO:0045333,1583,cellular respiration,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0045333,MGYA00005292,0.0222691646
16,go-terms,GO:0051186,GO:0051186,45942,cofactor metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051186,MGYA00005292,0.6462981418
17,go-terms,GO:0006259,GO:0006259,134897,DNA metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006259,MGYA00005292,1.8976901404
18,go-terms,GO:0022900,GO:0022900,590,electron transport chain,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0022900,MGYA00005292,0.0082999413
19,go-terms,GO:0006091,GO:0006091,22609,generation of precursor metabolites and energy,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006091,MGYA00005292,0.3180565645
20,go-terms,GO:0046039,GO:0046039,509,GTP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046039,MGYA00005292,0.0071604578
21,go-terms,GO:0006629,GO:0006629,39232,lipid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006629,MGYA00005292,0.551903894
22,go-terms,GO:0006807,GO:0006807,539174,nitrogen compound metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006807,MGYA00005292,7.584936535
23,go-terms,GO:0071941,GO:0071941,216,nitrogen cycle metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071941,MGYA00005292,0.0030386226
24,go-terms,GO:0009117,GO:0009117,40598,nucleotide metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009117,MGYA00005292,0.5711203683
25,go-terms,GO:0055114,GO:0055114,171709,oxidation-reduction process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0055114,MGYA00005292,2.4155502073
26,go-terms,GO:0016310,GO:0016310,29315,phosphorylation,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016310,MGYA00005292,0.4123945415
