,type,id,attributes_count,attributes.lineage,attributes.hierarchy.class,attributes.hierarchy.phylum,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Proteobacteria:Betaproteobacteria:MND1,1,Bacteria:Proteobacteria:Betaproteobacteria:MND1,Betaproteobacteria,Proteobacteria,Bacteria,MND1,Bacteria,MND1,Betaproteobacteria,order,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ABetaproteobacteria%253AMND1,,,,MGYA00005323,45506.0,100.0,1813.0,3.9840900101,1592.0,3.4984397662,1.0,0.0021979954,,,,,,
1,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,Tissierellaceae,GW-34,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,4.0,0.0092943281,1.0,0.0030798608,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,274,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,Lachnospiraceae,Anaerostipes,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,16443.0,38.2066593861,274.0,0.8438818565,,
3,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,4,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,Acidaminobacteraceae,Fusibacter,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,4.0,0.0092943281,4.0,0.0123194432,,
4,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,1,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,Actinobacteria,Actinobacteria,Bacteria,Bifidobacteriales,Bacteria,adolescentis,Bifidobacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253ABifidobacterium%253Aadolescentis,Bifidobacteriaceae,Bifidobacterium,adolescentis,MGYA00005323,45506.0,100.0,782.0,1.7184547093,127.0,0.2790840768,109.0,0.2395815017,109.0,0.2532704417,98.0,0.3018263574,1.0,0.0105451861
5,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,7,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,Lachnospiraceae,Oribacterium,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,16443.0,38.2066593861,7.0,0.0215590255,,
6,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,6,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,Marinilabiaceae,,,MGYA00005323,45506.0,100.0,13042.0,28.6599569288,13040.0,28.6555619039,13040.0,28.6618603833,6.0,0.0139414922,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,12,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,Porphyromonadaceae,CandidatusAzobacteroides,,MGYA00005323,45506.0,100.0,13042.0,28.6599569288,13040.0,28.6555619039,13040.0,28.6618603833,1299.0,3.0183330622,12.0,0.0369583295,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,221,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,Clostridiaceae,SMB53,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,872.0,2.0261635337,221.0,0.6806492347,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Acetonema:longum,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Acetonema:longum,Clostridia,Firmicutes,Bacteria,Clostridiales,Bacteria,longum,Acetonema,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AVeillonellaceae%253AAcetonema%253Alongum,Veillonellaceae,Acetonema,longum,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,29676.0,65.2133784556,29657.0,65.1859504132,2281.0,5.3000906197,1.0,0.0030798608,71.0,0.7487082147
10,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,11,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae,Actinobacteria,Actinobacteria,Bacteria,Bifidobacteriales,Bacteria,Bifidobacteriaceae,Bifidobacteriales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae,Bifidobacteriaceae,,,MGYA00005323,45506.0,100.0,782.0,1.7184547093,127.0,0.2790840768,109.0,0.2395815017,109.0,0.2532704417,,,,
11,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,14,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Tannerella,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ATannerella,Porphyromonadaceae,Tannerella,,MGYA00005323,45506.0,100.0,13042.0,28.6599569288,13040.0,28.6555619039,13040.0,28.6618603833,1299.0,3.0183330622,14.0,0.0431180511,,
12,organisms,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,4,Bacteria:Proteobacteria:Deltaproteobacteria:Desulfovibrionales:Desulfovibrionaceae:Desulfovibrio,Deltaproteobacteria,Proteobacteria,Bacteria,Desulfovibrionales,Bacteria,Desulfovibrio,Desulfovibrionaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253ADeltaproteobacteria%253ADesulfovibrionales%253ADesulfovibrionaceae%253ADesulfovibrio,Desulfovibrionaceae,Desulfovibrio,,MGYA00005323,45506.0,100.0,1813.0,3.9840900101,179.0,0.3933547225,179.0,0.3934411816,179.0,0.4159211841,4.0,0.0123194432,,
13,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,9,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Rikenellaceae:Blvii28,Bacteroidia,Bacteroidetes,Bacteria,Bacteroidales,Bacteria,Blvii28,Rikenellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARikenellaceae%253ABlvii28,Rikenellaceae,Blvii28,,MGYA00005323,45506.0,100.0,13042.0,28.6599569288,13040.0,28.6555619039,13040.0,28.6618603833,179.0,0.4159211841,9.0,0.0277187471,,
14,organisms,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Allobaculum,1,Bacteria:Firmicutes:Erysipelotrichi:Erysipelotrichales:Erysipelotrichaceae:Allobaculum,Erysipelotrichi,Firmicutes,Bacteria,Erysipelotrichales,Bacteria,Allobaculum,Erysipelotrichaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AErysipelotrichi%253AErysipelotrichales%253AErysipelotrichaceae%253AAllobaculum,Erysipelotrichaceae,Allobaculum,,MGYA00005323,45506.0,100.0,29845.0,65.5847580539,136.0,0.2988616886,136.0,0.2989273782,136.0,0.3160071566,1.0,0.0030798608,,
15,organisms,Bacteria:Chloroflexi:Chloroflexi:Roseiflexales:Roseiflexaceae:Roseiflexus,1,Bacteria:Chloroflexi:Chloroflexi:Roseiflexales:Roseiflexaceae:Roseiflexus,Chloroflexi,Chloroflexi,Bacteria,Roseiflexales,Bacteria,Roseiflexus,Roseiflexaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AChloroflexi%253AChloroflexi%253ARoseiflexales%253ARoseiflexaceae%253ARoseiflexus,Roseiflexaceae,Roseiflexus,,MGYA00005323,45506.0,100.0,1.0,0.0021975124,1.0,0.0021975124,1.0,0.0021979954,1.0,0.002323582,1.0,0.0030798608,,
