,type,id,attributes_count,attributes.lineage,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Bacteria,Clostridiales,Firmicutes,Clostridia,Tissierellaceae,GW-34,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,,MGYA00005324,29420.0,100.0,14848.0,50.4690686608,14384.0,48.8935721812,14381.0,48.891684232,5.0,0.0181244789,1.0,0.0045006526,,
1,organisms,Bacteria:Synergistetes:Synergistia:Synergistales:Dethiosulfovibrionaceae:Pyramidobacter,1,Bacteria:Synergistetes:Synergistia:Synergistales:Dethiosulfovibrionaceae:Pyramidobacter,Bacteria,Synergistales,Synergistetes,Synergistia,Dethiosulfovibrionaceae,Pyramidobacter,Bacteria,Pyramidobacter,Dethiosulfovibrionaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ASynergistetes%253ASynergistia%253ASynergistales%253ADethiosulfovibrionaceae%253APyramidobacter,,MGYA00005324,29420.0,100.0,2.0,0.0067980965,2.0,0.0067983276,2.0,0.0067994832,1.0,0.0036248958,1.0,0.0045006526,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,251,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,,MGYA00005324,29420.0,100.0,14848.0,50.4690686608,14384.0,48.8935721812,14381.0,48.891684232,6625.0,24.0149345706,251.0,1.1296638013,,
3,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,5,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:RF16,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,RF16,,Bacteria,RF16,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253ARF16,,MGYA00005324,29420.0,100.0,13581.0,46.1624745071,13576.0,46.1470478262,13576.0,46.1548922282,5.0,0.0181244789,,,,
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Bacteria,Clostridiales,Firmicutes,Clostridia,Acidaminobacteraceae,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,,MGYA00005324,29420.0,100.0,14848.0,50.4690686608,14384.0,48.8935721812,14381.0,48.891684232,2.0,0.0072497916,2.0,0.0090013052,,
5,organisms,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,17,Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium:adolescentis,Bacteria,Bifidobacteriales,Actinobacteria,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,Bacteria,adolescentis,Bifidobacterium,species,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253ABifidobacteriales%253ABifidobacteriaceae%253ABifidobacterium%253Aadolescentis,adolescentis,MGYA00005324,29420.0,100.0,123.0,0.4180829368,80.0,0.2719331045,76.0,0.2583803631,76.0,0.2754920796,66.0,0.2970430712,17.0,0.2608562222
6,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,5,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Oribacterium,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Oribacterium,Bacteria,Oribacterium,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AOribacterium,,MGYA00005324,29420.0,100.0,14848.0,50.4690686608,14384.0,48.8935721812,14381.0,48.891684232,6625.0,24.0149345706,5.0,0.022503263,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,5,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Marinilabiaceae,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,,MGYA00005324,29420.0,100.0,13581.0,46.1624745071,13576.0,46.1470478262,13576.0,46.1548922282,5.0,0.0181244789,,,,
8,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,10,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Porphyromonadaceae,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,,MGYA00005324,29420.0,100.0,13581.0,46.1624745071,13576.0,46.1470478262,13576.0,46.1548922282,1115.0,4.0417587994,10.0,0.0450065259,,
9,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,130,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Bacteria,Clostridiales,Firmicutes,Clostridia,Clostridiaceae,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,,MGYA00005324,29420.0,100.0,14848.0,50.4690686608,14384.0,48.8935721812,14381.0,48.891684232,324.0,1.1744662341,130.0,0.5850848373,,
