,type,id,attributes_count,attributes.lineage,attributes.hierarchy.kingdom,attributes.hierarchy.order,attributes.hierarchy.phylum,attributes.hierarchy.class,attributes.hierarchy.family,attributes.hierarchy.genus,attributes.domain,attributes.name,attributes.parent,attributes.rank,attributes.pipeline-version,links.self,attributes.hierarchy.species,Sample_id,attributes.domain_count,attributes.domain_relative_abundance,attributes.hierarchy.phylum_count,attributes.hierarchy.phylum_relative_abundance,attributes.hierarchy.class_count,attributes.hierarchy.class_relative_abundance,attributes.hierarchy.order_count,attributes.hierarchy.order_relative_abundance,attributes.hierarchy.family_count,attributes.hierarchy.family_relative_abundance,attributes.hierarchy.genus_count,attributes.hierarchy.genus_relative_abundance,attributes.hierarchy.species_count,attributes.hierarchy.species_relative_abundance
0,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,2,Bacteria:Firmicutes:Clostridia:Clostridiales:Tissierellaceae:GW-34,Bacteria,Clostridiales,Firmicutes,Clostridia,Tissierellaceae,GW-34,Bacteria,GW-34,Tissierellaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ATissierellaceae%253AGW-34,,MGYA00005291,43492.0,99.9954016646,20249.0,46.5558467835,19950.0,45.8694502564,19948.0,45.8722347422,5.0,0.0122819946,2.0,0.0061128431,,
1,organisms,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia,1,Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia,Bacteria,Lactobacillales,Firmicutes,Bacilli,Aerococcaceae,Facklamia,Bacteria,Facklamia,Aerococcaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253ABacilli%253ALactobacillales%253AAerococcaceae%253AFacklamia,,MGYA00005291,43492.0,99.9954016646,20249.0,46.5558467835,43.0,0.0988664843,29.0,0.0666881295,1.0,0.0024563989,1.0,0.0030564215,,
2,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,162,Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Anaerostipes,Bacteria,Clostridiales,Firmicutes,Clostridia,Lachnospiraceae,Anaerostipes,Bacteria,Anaerostipes,Lachnospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253ALachnospiraceae%253AAnaerostipes,,MGYA00005291,43492.0,99.9954016646,20249.0,46.5558467835,19950.0,45.8694502564,19948.0,45.8722347422,8800.0,21.6163104888,162.0,0.4951402897,,
3,organisms,Bacteria:Proteobacteria:Gammaproteobacteria:Chromatiales:Ectothiorhodospiraceae:Thioalkalivibrio,1,Bacteria:Proteobacteria:Gammaproteobacteria:Chromatiales:Ectothiorhodospiraceae:Thioalkalivibrio,Bacteria,Chromatiales,Proteobacteria,Gammaproteobacteria,Ectothiorhodospiraceae,Thioalkalivibrio,Bacteria,Thioalkalivibrio,Ectothiorhodospiraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AProteobacteria%253AGammaproteobacteria%253AChromatiales%253AEctothiorhodospiraceae%253AThioalkalivibrio,,MGYA00005291,43492.0,99.9954016646,1720.0,3.9545684462,25.0,0.0574805141,5.0,0.0114979534,3.0,0.0073691968,1.0,0.0030564215,,
4,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,1,Bacteria:Firmicutes:Clostridia:Clostridiales:Acidaminobacteraceae:Fusibacter,Bacteria,Clostridiales,Firmicutes,Clostridia,Acidaminobacteraceae,Fusibacter,Bacteria,Fusibacter,Acidaminobacteraceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AAcidaminobacteraceae%253AFusibacter,,MGYA00005291,43492.0,99.9954016646,20249.0,46.5558467835,19950.0,45.8694502564,19948.0,45.8722347422,1.0,0.0024563989,1.0,0.0030564215,,
5,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,1,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Microbacteriaceae,Bacteria,Actinomycetales,Actinobacteria,Actinobacteria,Microbacteriaceae,,Bacteria,Microbacteriaceae,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AMicrobacteriaceae,,MGYA00005291,43492.0,99.9954016646,455.0,1.0461213041,267.0,0.6138918906,11.0,0.0252954974,1.0,0.0024563989,,,,
6,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,11,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Marinilabiaceae,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Marinilabiaceae,,Bacteria,Marinilabiaceae,Bacteroidales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253AMarinilabiaceae,,MGYA00005291,43492.0,99.9954016646,21016.0,48.3193084104,21012.0,48.3112224956,21012.0,48.3189992181,11.0,0.0270203881,,,,
7,organisms,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,7,Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:CandidatusAzobacteroides,Bacteria,Bacteroidales,Bacteroidetes,Bacteroidia,Porphyromonadaceae,CandidatusAzobacteroides,Bacteria,CandidatusAzobacteroides,Porphyromonadaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253ABacteroidetes%253ABacteroidia%253ABacteroidales%253APorphyromonadaceae%253ACandidatusAzobacteroides,,MGYA00005291,43492.0,99.9954016646,21016.0,48.3193084104,21012.0,48.3112224956,21012.0,48.3189992181,914.0,2.2451486121,7.0,0.0213949508,,
8,organisms,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,123,Bacteria:Firmicutes:Clostridia:Clostridiales:Clostridiaceae:SMB53,Bacteria,Clostridiales,Firmicutes,Clostridia,Clostridiaceae,SMB53,Bacteria,SMB53,Clostridiaceae,genus,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AFirmicutes%253AClostridia%253AClostridiales%253AClostridiaceae%253ASMB53,,MGYA00005291,43492.0,99.9954016646,20249.0,46.5558467835,19950.0,45.8694502564,19948.0,45.8722347422,306.0,0.7516580693,123.0,0.3759398496,,
9,organisms,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:ACK-M1,2,Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:ACK-M1,Bacteria,Actinomycetales,Actinobacteria,Actinobacteria,ACK-M1,,Bacteria,ACK-M1,Actinomycetales,family,2.0,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/organisms/Bacteria%253AActinobacteria%253AActinobacteria%253AActinomycetales%253AACK-M1,,MGYA00005291,43492.0,99.9954016646,455.0,1.0461213041,267.0,0.6138918906,11.0,0.0252954974,2.0,0.0049127978,,,,
