,type,id,attributes.accession,attributes.count,attributes.description,attributes.lineage,links.self,Sample_id,attributes.relative_abundance
0,go-terms,GO:0030031,GO:0030031,0,cell projection assembly,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0030031,MGYA00005329,0.0
1,go-terms,GO:0071554,GO:0071554,5468,cell wall organization or biogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071554,MGYA00005329,0.0589757398
2,go-terms,GO:0016043,GO:0016043,23174,cellular component organization,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016043,MGYA00005329,0.2499458293
3,go-terms,GO:0051301,GO:0051301,6515,cell division,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051301,MGYA00005329,0.0702682781
4,go-terms,GO:0016049,GO:0016049,0,cell growth,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016049,MGYA00005329,0.0
5,go-terms,GO:0048870,GO:0048870,531,cell motility,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0048870,MGYA00005329,0.0057271613
6,go-terms,GO:0032196,GO:0032196,7592,transposition,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0032196,MGYA00005329,0.0818843849
7,go-terms,GO:0006811,GO:0006811,84789,ion transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006811,MGYA00005329,0.9145014636
8,go-terms,GO:0009306,GO:0009306,1551,protein secretion,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009306,MGYA00005329,0.016728488
9,go-terms,GO:0006810,GO:0006810,450208,transport,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006810,MGYA00005329,4.8557699101
10,go-terms,GO:0046034,GO:0046034,8277,ATP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046034,MGYA00005329,0.0892725308
11,go-terms,GO:0009058,GO:0009058,609683,biosynthetic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009058,MGYA00005329,6.5758057744
12,go-terms,GO:0005975,GO:0005975,423170,carbohydrate metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005975,MGYA00005329,4.5641484666
13,go-terms,GO:0009056,GO:0009056,73500,catabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009056,MGYA00005329,0.792742662
14,go-terms,GO:0006520,GO:0006520,162635,cellular amino acid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006520,MGYA00005329,1.754118406
15,go-terms,GO:0045333,GO:0045333,1671,cellular respiration,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0045333,MGYA00005329,0.0180227617
16,go-terms,GO:0051186,GO:0051186,55922,cofactor metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0051186,MGYA00005329,0.6031531312
17,go-terms,GO:0006259,GO:0006259,183271,DNA metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006259,MGYA00005329,1.9766903458
18,go-terms,GO:0022900,GO:0022900,986,electron transport chain,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0022900,MGYA00005329,0.0106346158
19,go-terms,GO:0006091,GO:0006091,29770,generation of precursor metabolites and energy,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006091,MGYA00005329,0.3210877422
20,go-terms,GO:0046039,GO:0046039,1180,GTP metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0046039,MGYA00005329,0.0127270251
21,go-terms,GO:0006629,GO:0006629,49964,lipid metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006629,MGYA00005329,0.5388924404
22,go-terms,GO:0006807,GO:0006807,687109,nitrogen compound metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006807,MGYA00005329,7.4108927587
23,go-terms,GO:0071941,GO:0071941,117,nitrogen cycle metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0071941,MGYA00005329,0.0012619169
24,go-terms,GO:0009117,GO:0009117,50732,nucleotide metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009117,MGYA00005329,0.5471757922
25,go-terms,GO:0055114,GO:0055114,220939,oxidation-reduction process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0055114,MGYA00005329,2.3829628708
26,go-terms,GO:0016310,GO:0016310,36933,phosphorylation,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016310,MGYA00005329,0.3983450985
27,go-terms,GO:0015979,GO:0015979,2135,photosynthesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0015979,MGYA00005329,0.0230272868
28,go-terms,GO:0019538,GO:0019538,226722,protein metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0019538,MGYA00005329,2.4453360792
29,go-terms,GO:0016070,GO:0016070,253540,RNA metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016070,MGYA00005329,2.7345846875
30,go-terms,GO:0044281,GO:0044281,355998,small molecule metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0044281,MGYA00005329,3.8396571728
31,go-terms,GO:0006790,GO:0006790,22745,sulfur compound metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006790,MGYA00005329,0.2453188007
32,go-terms,GO:0009404,GO:0009404,1135,toxin metabolic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009404,MGYA00005329,0.0122416724
33,go-terms,GO:0006351,GO:0006351,122911,"transcription, DNA-templated",biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006351,MGYA00005329,1.3256706576
34,go-terms,GO:0006412,GO:0006412,114334,translation,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006412,MGYA00005329,1.2331624425
35,go-terms,GO:0007154,GO:0007154,73732,cell communication,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0007154,MGYA00005329,0.7952449246
36,go-terms,GO:0006935,GO:0006935,398,chemotaxis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006935,MGYA00005329,0.0042926746
37,go-terms,GO:0006950,GO:0006950,44397,response to stress,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0006950,MGYA00005329,0.4788489247
38,go-terms,GO:0007165,GO:0007165,68092,signal transduction,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0007165,MGYA00005329,0.7344140591
39,go-terms,GO:0000160,GO:0000160,43140,phosphorelay signal transduction system,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0000160,MGYA00005329,0.4652914073
40,go-terms,GO:0000902,GO:0000902,2658,cell morphogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0000902,MGYA00005329,0.0286681632
41,go-terms,GO:0000746,GO:0000746,160,conjugation,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0000746,MGYA00005329,0.0017256983
42,go-terms,GO:0042592,GO:0042592,15959,homeostatic process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0042592,MGYA00005329,0.172127621
43,go-terms,GO:0002376,GO:0002376,7,immune system process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0002376,MGYA00005329,7.54993e-05
44,go-terms,GO:0009405,GO:0009405,2604,pathogenesis,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0009405,MGYA00005329,0.02808574
45,go-terms,GO:0043934,GO:0043934,575,sporulation,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0043934,MGYA00005329,0.0062017283
46,go-terms,GO:0044403,GO:0044403,10098,"symbiosis, encompassing mutualism through parasitism",biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0044403,MGYA00005329,0.1089131347
47,go-terms,GO:0016032,GO:0016032,16080,viral process,biological_process,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016032,MGYA00005329,0.1734326803
48,go-terms,GO:0042575,GO:0042575,2084,DNA polymerase complex,cellular_component,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0042575,MGYA00005329,0.0224772205
49,go-terms,GO:0016469,GO:0016469,8728,proton-transporting two-sector ATPase complex,cellular_component,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0016469,MGYA00005329,0.0941368429
50,go-terms,GO:0005840,GO:0005840,46074,ribosome,cellular_component,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005840,MGYA00005329,0.4969364001
51,go-terms,GO:0005667,GO:0005667,9,transcription factor complex,cellular_component,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005667,MGYA00005329,9.70705e-05
52,go-terms,GO:0005694,GO:0005694,2379,chromosome,cellular_component,https://www.ebi.ac.uk/metagenomics/api/v1/annotations/go-terms/GO:0005694,MGYA00005329,0.0256589768
