,1,2,3,4,5,6,7
file_support_04,7,21,35,35,21,7,1
file_support_05,7,21,31,25,11,2,
file_support_06,7,16,15,6,1,,
file_support_07,6,11,10,5,1,,
file_support_08,5,6,1,,,,
file_support_09,3,,,,,,
